start_time,away_team,home_team,away_team_score,home_team_score
2024-10-22 23:30:00+00:00,Team.NEW_YORK_KNICKS,Team.BOSTON_CELTICS,109.0,132.0
2024-10-23 02:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.LOS_ANGELES_LAKERS,103.0,110.0
2024-10-23 23:00:00+00:00,Team.INDIANA_PACERS,Team.DETROIT_PISTONS,115.0,109.0
2024-10-23 23:30:00+00:00,Team.BROOKLYN_NETS,Team.ATLANTA_HAWKS,116.0,120.0
2024-10-23 23:30:00+00:00,Team.ORLANDO_MAGIC,Team.MIAMI_HEAT,116.0,97.0
2024-10-23 23:30:00+00:00,Team.MILWAUKEE_BUCKS,Team.PHILADELPHIA_76ERS,124.0,109.0
2024-10-23 23:30:00+00:00,Team.CLEVELAND_CAVALIERS,Team.TORONTO_RAPTORS,136.0,106.0
2024-10-24 00:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.HOUSTON_ROCKETS,110.0,105.0
2024-10-24 00:00:00+00:00,Team.CHICAGO_BULLS,Team.NEW_ORLEANS_PELICANS,111.0,123.0
2024-10-24 01:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.UTAH_JAZZ,126.0,124.0
2024-10-24 02:00:00+00:00,Team.PHOENIX_SUNS,Team.LOS_ANGELES_CLIPPERS,116.0,113.0
2024-10-24 02:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.PORTLAND_TRAIL_BLAZERS,140.0,104.0
2024-10-24 23:00:00+00:00,Team.BOSTON_CELTICS,Team.WASHINGTON_WIZARDS,122.0,102.0
2024-10-24 23:30:00+00:00,Team.SAN_ANTONIO_SPURS,Team.DALLAS_MAVERICKS,109.0,120.0
2024-10-25 02:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.SACRAMENTO_KINGS,117.0,115.0
2024-10-25 02:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.DENVER_NUGGETS,102.0,87.0
2024-10-25 23:00:00+00:00,Team.BROOKLYN_NETS,Team.ORLANDO_MAGIC,101.0,116.0
2024-10-25 23:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.TORONTO_RAPTORS,107.0,115.0
2024-10-25 23:30:00+00:00,Team.CHARLOTTE_HORNETS,Team.ATLANTA_HAWKS,120.0,125.0
2024-10-25 23:30:00+00:00,Team.DETROIT_PISTONS,Team.CLEVELAND_CAVALIERS,101.0,113.0
2024-10-25 23:30:00+00:00,Team.INDIANA_PACERS,Team.NEW_YORK_KNICKS,98.0,123.0
2024-10-26 00:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.HOUSTON_ROCKETS,108.0,128.0
2024-10-26 00:00:00+00:00,Team.CHICAGO_BULLS,Team.MILWAUKEE_BUCKS,133.0,122.0
2024-10-26 01:30:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.UTAH_JAZZ,127.0,86.0
2024-10-26 02:00:00+00:00,Team.PHOENIX_SUNS,Team.LOS_ANGELES_LAKERS,116.0,123.0
2024-10-26 02:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.PORTLAND_TRAIL_BLAZERS,105.0,103.0
2024-10-26 21:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.DENVER_NUGGETS,109.0,104.0
2024-10-26 23:00:00+00:00,Team.CLEVELAND_CAVALIERS,Team.WASHINGTON_WIZARDS,135.0,116.0
2024-10-26 23:00:00+00:00,Team.BOSTON_CELTICS,Team.DETROIT_PISTONS,124.0,118.0
2024-10-26 23:00:00+00:00,Team.MIAMI_HEAT,Team.CHARLOTTE_HORNETS,114.0,106.0
2024-10-27 00:00:00+00:00,Team.ORLANDO_MAGIC,Team.MEMPHIS_GRIZZLIES,111.0,124.0
2024-10-27 00:00:00+00:00,Team.TORONTO_RAPTORS,Team.MINNESOTA_TIMBERWOLVES,101.0,112.0
2024-10-27 00:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.CHICAGO_BULLS,114.0,95.0
2024-10-27 00:30:00+00:00,Team.HOUSTON_ROCKETS,Team.SAN_ANTONIO_SPURS,106.0,109.0
2024-10-27 02:00:00+00:00,Team.DALLAS_MAVERICKS,Team.PHOENIX_SUNS,102.0,114.0
2024-10-27 02:30:00+00:00,Team.SACRAMENTO_KINGS,Team.LOS_ANGELES_LAKERS,127.0,131.0
2024-10-27 19:30:00+00:00,Team.PHILADELPHIA_76ERS,Team.INDIANA_PACERS,118.0,114.0
2024-10-27 22:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.PORTLAND_TRAIL_BLAZERS,103.0,125.0
2024-10-27 22:00:00+00:00,Team.MILWAUKEE_BUCKS,Team.BROOKLYN_NETS,102.0,115.0
2024-10-27 23:00:00+00:00,Team.ATLANTA_HAWKS,Team.OKLAHOMA_CITY_THUNDER,104.0,128.0
2024-10-28 00:30:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.GOLDEN_STATE_WARRIORS,112.0,104.0
2024-10-28 23:00:00+00:00,Team.INDIANA_PACERS,Team.ORLANDO_MAGIC,115.0,119.0
2024-10-28 23:30:00+00:00,Team.WASHINGTON_WIZARDS,Team.ATLANTA_HAWKS,121.0,119.0
2024-10-28 23:30:00+00:00,Team.MILWAUKEE_BUCKS,Team.BOSTON_CELTICS,108.0,119.0
2024-10-28 23:30:00+00:00,Team.DENVER_NUGGETS,Team.TORONTO_RAPTORS,127.0,125.0
2024-10-28 23:30:00+00:00,Team.DETROIT_PISTONS,Team.MIAMI_HEAT,98.0,106.0
2024-10-28 23:30:00+00:00,Team.CLEVELAND_CAVALIERS,Team.NEW_YORK_KNICKS,110.0,104.0
2024-10-29 00:00:00+00:00,Team.HOUSTON_ROCKETS,Team.SAN_ANTONIO_SPURS,106.0,101.0
2024-10-29 00:00:00+00:00,Team.CHICAGO_BULLS,Team.MEMPHIS_GRIZZLIES,126.0,123.0
2024-10-29 00:30:00+00:00,Team.UTAH_JAZZ,Team.DALLAS_MAVERICKS,102.0,110.0
2024-10-29 02:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.SACRAMENTO_KINGS,98.0,111.0
2024-10-29 02:00:00+00:00,Team.LOS_ANGELES_LAKERS,Team.PHOENIX_SUNS,105.0,109.0
