slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
gilgesh01,Shai Gilgeous-Alexander,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.OKLAHOMA_CITY_THUNDER,49,49,1668,561,1051,97,279,382,423,45,212,294,95,50,131,107,1601
edwaran01,Anthony Edwards,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,Team.MINNESOTA_TIMBERWOLVES,51,51,1873,466,1045,212,504,244,289,42,253,231,58,35,176,101,1388
jokicni01,Nikola Jokić,[<Position.CENTER: 'CENTER'>],29,Team.DENVER_NUGGETS,46,46,1667,519,908,96,208,232,285,139,445,475,84,31,142,96,1366
brunsja01,Jalen Brunson,[<Position.POINT_GUARD: 'POINT GUARD'>],28,Team.NEW_YORK_KNICKS,50,50,1764,451,922,116,292,286,352,22,123,376,48,4,121,109,1304
antetgi01,Giannis Antetokounmpo,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30,Team.MILWAUKEE_BUCKS,41,41,1431,521,857,6,32,254,440,94,405,241,31,54,141,100,1302
tatumja01,Jayson Tatum,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,Team.BOSTON_CELTICS,49,49,1780,437,968,174,488,253,316,30,394,277,60,26,140,108,1301
maxeyty01,Tyrese Maxey,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.PHILADELPHIA_76ERS,44,44,1673,425,957,147,425,228,261,12,139,273,85,17,109,101,1225
bookede01,Devin Booker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28,Team.PHOENIX_SUNS,46,46,1710,397,875,122,358,299,335,43,142,308,50,12,124,110,1215
cunnica01,Cade Cunningham,[<Position.POINT_GUARD: 'POINT GUARD'>],23,Team.DETROIT_PISTONS,47,47,1677,450,994,107,302,196,232,42,254,444,46,35,208,125,1203
mitchdo01,Donovan Mitchell,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],28,Team.CLEVELAND_CAVALIERS,49,49,1534,414,918,180,457,169,201,32,181,232,70,10,98,100,1177
foxde01,De'Aaron Fox,[<Position.POINT_GUARD: 'POINT GUARD'>],27,Team.SACRAMENTO_KINGS,45,45,1663,414,883,92,286,204,246,45,180,276,66,20,133,118,1124
foxde01,De'Aaron Fox,[<Position.POINT_GUARD: 'POINT GUARD'>],27,Team.SAN_ANTONIO_SPURS,2,2,70,20,39,4,12,2,4,1,6,19,7,0,1,6,46
herroty01,Tyler Herro,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.MIAMI_HEAT,49,49,1744,403,868,185,477,172,200,18,255,272,36,6,130,68,1163
jacksja02,Jaren Jackson Jr.,[<Position.CENTER: 'CENTER'>],25,Team.MEMPHIS_GRIZZLIES,49,49,1452,414,829,98,265,222,283,71,228,108,63,79,107,164,1148
jamesle01,LeBron James,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],40,Team.LOS_ANGELES_LAKERS,46,46,1595,432,838,100,256,161,210,40,318,416,40,24,174,64,1125
townska01,Karl-Anthony Towns,[<Position.CENTER: 'CENTER'>],29,Team.NEW_YORK_KNICKS,46,46,1597,404,759,90,213,221,263,146,480,153,44,37,115,160,1119
youngtr01,Trae Young,[<Position.POINT_GUARD: 'POINT GUARD'>],26,Team.ATLANTA_HAWKS,48,48,1731,343,845,140,413,290,339,23,130,546,61,10,224,94,1116
greenja05,Jalen Green,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,Team.HOUSTON_ROCKETS,51,51,1693,384,899,145,414,181,210,29,193,149,45,16,129,84,1094
garlada01,Darius Garland,[<Position.POINT_GUARD: 'POINT GUARD'>],25,Team.CLEVELAND_CAVALIERS,50,50,1517,391,782,151,348,160,183,29,99,336,56,10,126,105,1093
davisan02,Anthony Davis,[<Position.CENTER: 'CENTER'>],31,Team.LOS_ANGELES_LAKERS,42,42,1440,400,758,28,94,253,321,119,380,141,54,90,93,82,1081
lillada01,Damian Lillard,[<Position.POINT_GUARD: 'POINT GUARD'>],34,Team.MILWAUKEE_BUCKS,42,42,1523,324,728,142,377,262,284,24,172,315,49,9,118,74,1052
duranke01,Kevin Durant,[<Position.POWER_FORWARD: 'POWER FORWARD'>],36,Team.PHOENIX_SUNS,39,39,1410,381,727,92,231,196,237,16,221,162,32,52,118,66,1050
wembavi01,Victor Wembanyama,[<Position.CENTER: 'CENTER'>],21,Team.SAN_ANTONIO_SPURS,43,43,1422,384,809,135,383,147,175,78,391,156,46,167,142,98,1050
brownja02,Jaylen Brown,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28,Team.BOSTON_CELTICS,45,45,1592,387,837,89,272,180,242,65,210,215,53,12,118,117,1043
lavinza01,Zach LaVine,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],29,Team.CHICAGO_BULLS,42,42,1432,363,710,136,305,145,182,12,190,189,39,10,121,64,1007
lavinza01,Zach LaVine,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29,Team.SACRAMENTO_KINGS,2,2,67,12,32,3,13,8,10,0,5,4,1,1,1,3,35
